instance,TP,TN,FP,FN,#fp_dev,acc,prec,rec,spec,F1,ano_link_perc,avg_model_acc,gt_match,#fault_paths,ratio_of_found_gtfp,avg_fp_len,runtime (s),classification_ratio,diag_success,compensation_by_aff_by_savior,missed_chances,no_second_chance
10_20_95_99_99,13,102,2,0,11,0.98,0.87,1.0,0.98,0.93,100.0,0.97,False,10,1.0,3.3,8.74,0.91,True,13,0,0
10_20_95_99_27,13,109,4,0,84,0.97,0.76,1.0,0.96,0.86,100.0,0.97,False,26,0.0,4.65,15.93,0.98,True,13,0,0
10_20_95_99_10,13,100,4,0,12,0.97,0.76,1.0,0.96,0.86,100.0,0.97,False,13,0.62,3.62,9.74,0.91,True,13,0,0
10_20_95_99_8,13,102,4,0,56,0.97,0.76,1.0,0.96,0.86,100.0,0.97,False,13,0.92,3.62,10.93,0.92,True,13,0,0
10_20_95_99_81,13,96,4,0,82,0.96,0.76,1.0,0.96,0.86,100.0,0.97,False,10,0.3,2.8,10.01,0.88,True,13,0,0
10_20_95_99_61,13,95,3,0,5,0.97,0.81,1.0,0.97,0.9,100.0,0.97,False,10,0.5,2.7,8.0,0.86,True,13,0,0
10_20_95_99_86,13,104,3,0,9,0.97,0.81,1.0,0.97,0.9,100.0,0.97,False,14,0.64,3.57,10.4,0.93,True,13,0,0
10_20_95_99_41,13,98,2,0,13,0.98,0.87,1.0,0.98,0.93,100.0,0.97,False,10,0.5,2.6,8.88,0.88,True,13,0,0
10_20_95_99_57,13,106,2,0,7,0.98,0.87,1.0,0.98,0.93,100.0,0.97,False,17,0.71,3.35,10.14,0.94,True,13,0,0
10_20_95_99_75,13,101,5,0,18,0.96,0.72,1.0,0.95,0.84,100.0,0.97,False,11,1.0,3.91,8.82,0.92,True,13,0,0
10_20_95_99_50,13,109,4,0,191,0.97,0.76,1.0,0.96,0.86,100.0,0.97,False,35,0.43,5.49,18.29,0.98,True,13,0,0
10_20_95_99_96,12,110,3,1,31,0.97,0.8,0.92,0.97,0.86,85.02,0.97,False,38,0.24,6.45,16.86,0.98,True,13,0,0
10_20_95_99_77,13,103,2,0,1,0.98,0.87,1.0,0.98,0.93,100.0,0.97,False,10,0.8,2.5,8.91,0.91,True,13,0,0
10_20_95_99_30,13,94,3,0,14,0.97,0.81,1.0,0.97,0.9,100.0,0.97,False,9,0.78,2.67,8.26,0.85,True,13,0,0
10_20_95_99_85,12,107,3,1,2,0.97,0.8,0.92,0.97,0.86,68.42,0.97,False,32,0.31,5.16,15.99,0.95,True,13,0,0
10_20_95_99_23,12,96,4,1,11,0.96,0.75,0.92,0.96,0.83,91.67,0.97,False,9,0.78,2.33,8.73,0.88,True,13,0,0
10_20_95_99_95,13,111,5,0,3991,0.96,0.72,1.0,0.96,0.84,100.0,0.97,False,61,0.03,8.16,1000.92,1.0,True,13,0,0
10_20_95_99_40,13,102,4,0,24,0.97,0.76,1.0,0.96,0.86,100.0,0.97,False,11,0.73,1.91,36.81,0.92,True,13,0,0
10_20_95_99_54,13,105,0,0,0,1.0,1.0,1.0,1.0,1.0,100.0,0.97,True,13,1.0,4.15,35.19,0.91,True,13,0,0
10_20_95_99_78,12,90,1,1,0,0.98,0.92,0.92,0.99,0.92,91.3,0.97,False,8,0.75,3.88,28.96,0.81,True,13,0,0
10_20_95_99_89,13,104,3,0,33,0.97,0.81,1.0,0.97,0.9,100.0,0.97,False,21,0.52,5.29,42.33,0.93,True,13,0,0
10_20_95_99_66,13,96,4,0,5,0.96,0.76,1.0,0.96,0.86,100.0,0.97,False,9,0.78,2.78,32.16,0.88,True,13,0,0
10_20_95_99_68,12,105,3,1,12,0.97,0.8,0.92,0.97,0.86,85.11,0.97,False,17,0.18,3.76,37.81,0.94,True,13,0,0
10_20_95_99_29,13,104,3,0,298,0.97,0.81,1.0,0.97,0.9,100.0,0.97,False,13,0.23,5.46,68.86,0.93,True,13,0,0
10_20_95_99_82,11,86,1,1,3,0.98,0.92,0.92,0.99,0.92,77.78,0.97,False,15,0.73,3.4,30.08,0.77,True,12,10,0
10_20_95_99_7,13,100,3,0,46,0.97,0.81,1.0,0.97,0.9,100.0,0.97,False,18,0.61,5.56,40.54,0.9,True,13,0,0
10_20_95_99_55,12,108,2,1,4,0.98,0.86,0.92,0.98,0.89,78.48,0.97,False,19,0.53,5.16,36.98,0.95,True,13,0,0
10_20_95_99_84,13,108,4,0,86,0.97,0.76,1.0,0.96,0.86,100.0,0.97,False,12,0.5,3.83,47.33,0.97,True,13,0,0
10_20_95_99_18,13,97,4,0,97,0.96,0.76,1.0,0.96,0.86,100.0,0.97,False,11,0.27,3.27,43.51,0.88,True,13,0,0
10_20_95_99_36,12,105,2,1,0,0.97,0.86,0.92,0.98,0.89,72.5,0.97,False,21,0.48,4.81,35.87,0.93,True,13,0,0
10_20_95_99_6,13,101,2,0,4,0.98,0.87,1.0,0.98,0.93,100.0,0.97,False,7,0.71,2.43,31.48,0.9,True,13,0,0
10_20_95_99_42,13,103,4,0,14,0.97,0.76,1.0,0.96,0.86,100.0,0.97,False,9,0.11,2.89,34.64,0.93,True,13,0,0
10_20_95_99_79,13,104,2,0,1,0.98,0.87,1.0,0.98,0.93,100.0,0.97,False,22,0.77,3.41,37.22,0.92,True,13,0,0
10_20_95_99_88,13,113,2,0,23,0.98,0.87,1.0,0.98,0.93,100.0,0.97,False,57,0.58,7.12,47.6,0.99,True,13,0,0
10_20_95_99_59,13,104,2,0,22,0.98,0.87,1.0,0.98,0.93,100.0,0.97,False,11,0.18,3.55,36.43,0.92,True,13,0,0
10_20_95_99_19,13,96,2,0,10,0.98,0.87,1.0,0.98,0.93,100.0,0.97,False,10,0.9,3.7,32.96,0.86,True,13,0,0
10_20_95_99_46,13,111,4,0,17,0.97,0.76,1.0,0.97,0.86,100.0,0.97,False,30,0.97,4.43,44.68,0.99,True,13,0,0
10_20_95_99_52,13,102,3,0,3,0.97,0.81,1.0,0.97,0.9,100.0,0.97,False,16,0.69,3.12,36.08,0.91,True,13,0,0
10_20_95_99_37,12,94,1,1,5,0.98,0.92,0.92,0.99,0.92,75.0,0.97,False,15,0.4,3.93,31.71,0.84,True,13,0,0
10_20_95_99_91,13,89,2,0,7,0.98,0.87,1.0,0.98,0.93,100.0,0.97,False,14,1.0,4.07,33.19,0.81,True,13,0,0
10_20_95_99_98,13,105,2,0,11,0.98,0.87,1.0,0.98,0.93,100.0,0.97,False,14,0.64,4.71,36.09,0.93,True,13,0,0
10_20_95_99_90,13,113,2,0,158,0.98,0.87,1.0,0.98,0.93,100.0,0.97,False,49,0.14,6.76,61.13,0.99,True,13,0,0
10_20_95_99_74,12,105,2,1,1,0.97,0.86,0.92,0.98,0.89,70.5,0.97,False,30,0.13,5.63,40.36,0.93,True,13,0,0
10_20_95_99_76,12,98,3,1,8,0.96,0.8,0.92,0.97,0.86,72.73,0.97,False,23,0.09,6.74,35.58,0.88,True,13,0,0
10_20_95_99_33,10,85,3,1,6,0.96,0.77,0.91,0.97,0.83,42.86,0.97,False,7,0.29,3.0,27.59,0.77,True,11,12,0
10_20_95_99_80,13,109,3,0,159,0.98,0.81,1.0,0.97,0.9,100.0,0.97,False,45,0.73,6.76,62.31,0.97,True,13,0,0
10_20_95_99_12,13,101,2,0,77,0.98,0.87,1.0,0.98,0.93,100.0,0.97,False,15,0.0,4.2,43.79,0.9,True,13,0,0
10_20_95_99_72,13,98,2,0,2,0.98,0.87,1.0,0.98,0.93,100.0,0.97,False,9,1.0,3.44,32.64,0.88,True,13,0,0
10_20_95_99_44,12,102,0,1,3,0.99,1.0,0.92,1.0,0.96,83.33,0.97,False,11,0.73,2.64,32.76,0.89,True,13,0,0
10_20_95_99_43,13,99,2,0,6,0.98,0.87,1.0,0.98,0.93,100.0,0.97,False,9,0.89,1.89,32.3,0.88,True,13,0,0
10_20_95_99_62,13,97,2,0,3,0.98,0.87,1.0,0.98,0.93,100.0,0.97,False,12,0.92,3.58,32.12,0.87,True,13,0,0
10_20_95_99_67,13,98,1,0,0,0.99,0.93,1.0,0.99,0.96,100.0,0.97,False,9,0.89,2.56,30.43,0.87,True,13,0,0
10_20_95_99_70,13,101,4,0,13,0.97,0.76,1.0,0.96,0.86,100.0,0.97,False,10,0.3,3.2,33.9,0.91,True,13,0,0
10_20_95_99_20,11,97,1,2,5,0.97,0.92,0.85,0.99,0.88,59.52,0.97,False,12,0.25,4.5,32.34,0.86,True,13,0,0
10_20_95_99_51,12,101,2,1,2,0.97,0.86,0.92,0.98,0.89,90.91,0.97,False,11,0.82,2.0,33.56,0.9,True,13,0,0
10_20_95_99_3,13,91,3,0,4,0.97,0.81,1.0,0.97,0.9,100.0,0.97,False,11,0.82,2.91,30.91,0.83,True,13,0,0
10_20_95_99_2,13,111,2,0,51,0.98,0.87,1.0,0.98,0.93,100.0,0.97,False,30,0.13,4.87,43.42,0.98,True,13,0,0
10_20_95_99_87,12,109,2,1,13,0.98,0.86,0.92,0.98,0.89,57.78,0.97,False,23,0.04,4.91,36.54,0.96,True,13,0,0
10_20_95_99_60,13,102,3,0,22,0.97,0.81,1.0,0.97,0.9,100.0,0.97,False,10,0.8,2.9,36.88,0.91,True,13,0,0
10_20_95_99_71,13,106,5,0,51,0.96,0.72,1.0,0.95,0.84,100.0,0.97,False,11,0.45,3.18,41.51,0.96,True,13,0,0
10_20_95_99_39,13,86,3,0,3,0.97,0.81,1.0,0.97,0.9,100.0,0.97,False,10,0.5,2.7,29.04,0.79,True,13,0,0
10_20_95_99_73,12,89,2,1,5,0.97,0.86,0.92,0.98,0.89,100.0,0.97,False,9,0.44,2.33,30.17,0.81,True,13,0,0
10_20_95_99_14,13,113,3,0,23,0.98,0.81,1.0,0.97,0.9,100.0,0.97,False,56,0.66,6.3,48.72,1.0,True,13,0,0
10_20_95_99_25,13,102,4,0,19,0.97,0.76,1.0,0.96,0.86,100.0,0.97,False,11,0.73,3.45,36.34,0.92,True,13,0,0
10_20_95_99_93,12,96,2,1,1,0.97,0.86,0.92,0.98,0.89,92.31,0.97,False,15,0.47,3.6,32.78,0.86,True,13,0,0
10_20_95_99_31,13,96,1,0,2,0.99,0.93,1.0,0.99,0.96,100.0,0.97,False,10,0.6,3.1,32.32,0.85,True,13,0,0
10_20_95_99_69,13,103,2,0,11,0.98,0.87,1.0,0.98,0.93,100.0,0.97,False,14,0.86,3.57,35.61,0.91,True,13,0,0
10_20_95_99_83,13,99,2,0,37,0.98,0.87,1.0,0.98,0.93,100.0,0.97,False,10,0.2,3.0,32.31,0.88,True,13,0,0
10_20_95_99_38,13,110,3,0,42,0.98,0.81,1.0,0.97,0.9,100.0,0.97,False,32,0.88,5.75,48.96,0.98,True,13,0,0
10_20_95_99_92,13,105,2,0,19,0.98,0.87,1.0,0.98,0.93,100.0,0.97,False,15,0.93,3.93,36.64,0.93,True,13,0,0
10_20_95_99_0,12,109,2,1,8,0.98,0.86,0.92,0.98,0.89,77.11,0.97,False,33,0.15,6.03,42.91,0.96,True,13,0,0
10_20_95_99_5,13,109,4,0,14,0.97,0.76,1.0,0.96,0.86,100.0,0.97,False,21,1.0,4.43,38.68,0.98,True,13,0,0
10_20_95_99_94,12,89,3,1,1,0.96,0.8,0.92,0.97,0.86,90.32,0.97,False,12,0.67,3.58,30.89,0.81,True,13,0,0
10_20_95_99_48,13,111,3,0,82,0.98,0.81,1.0,0.97,0.9,100.0,0.97,False,50,0.8,6.82,59.83,0.98,True,13,0,0
10_20_95_99_45,13,104,4,0,688,0.97,0.76,1.0,0.96,0.86,100.0,0.97,False,21,0.0,4.67,114.29,0.94,True,13,0,0
10_20_95_99_32,13,96,3,0,15,0.97,0.81,1.0,0.97,0.9,100.0,0.97,False,12,0.83,3.0,33.85,0.87,True,13,0,0
10_20_95_99_58,12,106,3,1,15,0.97,0.8,0.92,0.97,0.86,93.33,0.97,False,17,0.29,3.65,37.23,0.95,True,13,0,0
10_20_95_99_22,13,106,3,0,227,0.98,0.81,1.0,0.97,0.9,100.0,0.97,False,21,0.33,5.43,63.93,0.95,True,13,0,0
10_20_95_99_47,12,103,2,1,14,0.97,0.86,0.92,0.98,0.89,89.16,0.97,False,21,0.48,4.95,38.84,0.91,True,13,0,0
10_20_95_99_53,13,101,3,0,46,0.97,0.81,1.0,0.97,0.9,100.0,0.97,False,13,0.15,3.31,39.66,0.91,True,13,0,0
10_20_95_99_16,13,104,2,0,11,0.98,0.87,1.0,0.98,0.93,100.0,0.97,False,11,0.91,3.0,35.48,0.92,True,13,0,0
10_20_95_99_15,13,101,3,0,15,0.97,0.81,1.0,0.97,0.9,100.0,0.97,False,10,0.3,2.6,35.22,0.91,True,13,0,0
10_20_95_99_24,13,112,3,0,289,0.98,0.81,1.0,0.97,0.9,100.0,0.97,False,47,0.17,4.85,75.63,0.99,True,13,0,0
10_20_95_99_1,13,89,2,0,2,0.98,0.87,1.0,0.98,0.93,100.0,0.97,False,10,0.6,2.8,29.41,0.81,True,13,0,0
10_20_95_99_21,12,93,1,1,3,0.98,0.92,0.92,0.99,0.92,65.52,0.97,False,15,0.13,4.87,32.66,0.83,True,13,0,0
10_20_95_99_26,12,101,2,1,17,0.97,0.86,0.92,0.98,0.89,100.0,0.97,False,13,0.77,3.15,36.27,0.9,True,13,0,0
