instance_set,num_instances,avg_tp,avg_tn,avg_fp,avg_fn,fp_dev_mean,fp_dev_max,avg_acc,avg_prec,avg_rec,avg_spec,avg_f1,avg_ano_link_perc,avg_model_acc,gt_match_perc,avg_ratio_of_found_gtfp,avg_num_fault_paths,max_num_fault_paths,avg_fault_path_len,max_fault_path_len,avg_runtime (s),avg_classification_ratio,diag_success_percentage,median_runtime (s),median_num_fault_paths,median_fault_path_len,max_runtime (s),avg_compensation_by_aff_by_savior,avg_missed_chances,avg_no_second_chance,fp_dev_min,avg_ratio_found_anomalies
1_10_95_99,100,0.99,13.25,0.38,0.01,0.22,2.0,0.98,0.83,0.99,0.98,0.89,1.0,0.97,68,0.85,1.0,1.0,1.0,1.0,1.7,0.11,99,1.24,1.0,1.0,6.42,0.35,0.0,0.0,0.0,0.99
1_10_100_100,100,1.0,11.73,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100,1.0,1.0,1.0,1.0,1.0,1.08,0.1,100,1.05,1.0,1.0,3.8,0.32,0.0,0.0,0.0,1.0
5_5_95_99,100,5.88,42.64,1.06,0.11,0.66,3.0,0.98,0.86,0.98,0.98,0.91,0.97,0.97,24,0.88,5.35,6.0,1.17,2.0,13.37,0.39,100,13.74,5.5,1.2,19.34,3.92,0.01,0.0,0.0,0.98
5_10_100_100,100,6.0,51.27,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100,1.0,4.92,6.0,1.33,3.0,16.18,0.44,100,16.36,5.0,1.2,20.59,5.47,0.0,0.0,0.0,1.0
1_20_90_95,100,0.98,33.92,2.27,0.02,2.24,32.0,0.95,0.55,0.98,0.96,0.63,1.0,0.92,36,0.47,1.0,1.0,1.0,1.0,10.28,0.29,98,8.02,1.0,1.0,29.15,0.87,0.0,0.0,0.0,0.98
10_10_90_95,100,11.97,80.64,6.01,0.88,8.24,102.0,0.93,0.67,0.93,0.93,0.78,0.85,0.92,0,0.49,9.56,12.0,2.05,5.3,28.74,0.77,100,29.42,10.0,1.9,43.43,12.55,0.48,0.14,0.0,0.92
1_5_90_95,100,0.92,10.31,0.7,0.08,0.49,3.0,0.94,0.74,0.92,0.95,0.83,1.0,0.93,55,0.79,1.0,1.0,1.0,1.0,1.97,0.09,95,1.33,1.0,1.0,5.84,0.15,0.0,0.0,0.0,0.92
5_10_90_95,100,5.64,58.3,4.28,0.32,2.34,12.0,0.93,0.59,0.94,0.93,0.72,0.93,0.93,4,0.54,4.92,6.0,1.33,3.0,17.9,0.53,100,19.38,5.0,1.2,25.07,5.6,0.1,0.0,0.0,0.94
20_7_95_99,100,25.37,89.31,2.22,0.6,7.4,68.0,0.97,0.92,0.98,0.98,0.95,0.96,0.97,0,0.79,24.25,58.0,3.42,7.44,13.85,0.91,100,13.44,22.0,3.08,24.68,24.89,0.02,0.1,0.0,0.98
1_20_95_99,100,1.0,20.11,0.46,0.0,0.22,2.0,0.98,0.81,1.0,0.98,0.87,1.0,0.97,66,0.78,1.0,1.0,1.0,1.0,4.2,0.17,100,3.46,1.0,1.0,16.5,0.78,0.0,0.0,0.0,1.0
20_5_95_99,100,25.37,80.74,2.11,0.58,1.86,8.0,0.97,0.93,0.98,0.98,0.95,0.96,0.97,2,0.86,19.3,28.0,2.11,4.68,11.78,0.84,100,11.7,19.0,1.96,16.96,22.0,0.11,0.03,0.0,0.98
1_20_100_100,100,1.0,16.53,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100,1.0,1.0,1.0,1.0,1.0,3.78,0.14,100,3.26,1.0,1.0,9.74,0.75,0.0,0.0,0.0,1.0
1_5_95_99,100,0.97,9.58,0.14,0.03,0.14,1.0,0.98,0.93,0.97,0.99,0.95,1.0,0.97,84,0.94,1.0,1.0,1.0,1.0,3.28,0.08,97,3.32,1.0,1.0,6.39,0.13,0.0,0.0,0.0,0.97
20_1_90_95,100,24.16,70.98,5.11,1.81,2.65,8.0,0.93,0.83,0.93,0.93,0.87,0.88,0.92,0,0.87,23.56,26.0,1.11,1.32,12.97,0.79,100,13.08,24.0,1.12,15.3,6.11,0.01,0.03,0.0,0.93
20_2_95_99,100,25.34,73.67,1.79,0.65,1.04,4.0,0.98,0.94,0.97,0.98,0.95,0.96,0.97,2,0.93,21.87,26.0,1.24,1.61,12.61,0.79,100,12.59,22.0,1.22,17.19,11.91,0.01,0.0,0.0,0.97
10_10_95_99,100,12.63,79.61,1.98,0.31,2.1,16.0,0.98,0.87,0.98,0.98,0.92,0.96,0.97,3,0.78,9.56,12.0,2.05,5.3,27.25,0.73,100,27.44,10.0,1.9,33.52,12.61,0.23,0.0,0.0,0.97
20_10_90_95,100,24.23,92.02,6.6,1.72,361.64,9802.0,0.93,0.79,0.93,0.93,0.85,0.87,0.92,0,0.42,64.55,2146.0,4.92,10.96,110.8,0.97,100,51.66,35.0,4.68,2806.06,25.77,0.13,0.12,0.0,0.93
20_5_90_95,100,23.95,78.33,5.44,1.83,4.16,25.0,0.93,0.82,0.93,0.94,0.87,0.85,0.92,0,0.66,19.3,28.0,2.11,4.68,33.18,0.85,100,34.86,19.0,1.96,44.12,21.75,0.27,0.3,0.0,0.92
10_10_100_100,100,13.0,78.79,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100,1.0,9.56,12.0,2.05,5.3,26.11,0.71,100,25.91,10.0,1.9,30.95,12.67,0.0,0.0,0.0,1.0
10_5_95_99,100,12.74,66.63,1.62,0.26,0.76,3.0,0.98,0.89,0.98,0.98,0.93,0.97,0.97,11,0.88,10.54,14.0,1.35,2.36,21.53,0.63,100,23.18,11.0,1.3,43.72,10.35,0.0,0.0,0.0,0.98
5_20_95_99,100,5.75,75.67,1.84,0.14,1.44,16.0,0.98,0.77,0.97,0.98,0.85,0.93,0.97,7,0.6,4.53,6.0,1.67,3.75,21.02,0.65,100,22.06,5.0,1.5,31.12,5.89,0.54,0.0,0.0,0.96
1_5_100_100,100,1.0,9.36,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100,1.0,1.0,1.0,1.0,1.0,1.2,0.08,100,0.96,1.0,1.0,4.05,0.14,0.0,0.0,0.0,1.0
5_5_100_100,100,6.0,41.75,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100,1.0,5.35,6.0,1.17,2.0,11.54,0.37,100,12.72,5.5,1.2,17.61,3.73,0.0,0.0,0.0,1.0
5_20_100_100,100,6.0,69.92,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100,1.0,4.53,6.0,1.67,3.75,15.19,0.59,100,18.0,5.0,1.5,25.18,6.0,0.0,0.0,0.0,1.0
5_20_90_95,100,5.6,86.82,6.24,0.3,21.81,499.0,0.93,0.48,0.94,0.93,0.63,0.89,0.93,0,0.26,4.53,6.0,1.67,3.75,26.87,0.77,100,26.86,5.0,1.5,83.3,5.9,0.58,0.17,0.0,0.93
10_20_90_95,100,12.21,101.04,7.26,0.77,857.74,30246.0,0.93,0.63,0.94,0.93,0.76,0.87,0.93,0,0.19,17.99,61.0,3.97,8.16,241.28,0.94,100,51.37,13.5,3.62,10807.48,12.98,0.11,0.07,2.0,0.94
20_10_100_100,100,26.0,97.68,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100,1.0,64.55,2146.0,4.92,10.96,30.58,0.96,100,20.27,35.0,4.68,349.51,25.9,0.0,0.0,0.0,1.0
10_20_95_99,100,12.67,101.47,2.65,0.3,77.72,3991.0,0.97,0.83,0.98,0.97,0.9,0.94,0.97,1,0.55,17.99,61.0,3.97,8.16,40.91,0.91,100,32.77,13.5,3.62,1000.92,12.97,0.22,0.0,0.0,0.97
20_3_95_99,100,25.42,74.69,1.79,0.53,0.89,3.0,0.98,0.94,0.98,0.98,0.96,0.95,0.97,4,0.92,20.68,24.0,1.4,1.95,12.35,0.79,100,12.17,21.0,1.39,16.84,15.52,0.07,0.0,0.0,0.98
