instance_set,num_instances,avg_tp,avg_tn,avg_fp,avg_fn,fp_dev_mean,fp_dev_max,avg_acc,avg_prec,avg_rec,avg_spec,avg_f1,avg_ano_link_perc,avg_model_acc,gt_match_perc,avg_ratio_of_found_gtfp,avg_num_fault_paths,max_num_fault_paths,avg_fault_path_len,max_fault_path_len,avg_runtime (s),avg_classification_ratio,diag_success_percentage,median_runtime (s),median_num_fault_paths,median_fault_path_len,max_runtime (s),avg_compensation_by_aff_by_savior,avg_missed_chances,avg_no_second_chance,fp_dev_min
129_1_5_50_10_95_99_42,100,0.97,9.58,0.14,0.03,0.14,1.0,0.98,0.93,0.97,0.99,0.95,100.0,0.97,84,0.94,1.0,1.0,1.0,1.0,3.28,0.08,97,3.32,1.0,1.0,6.39,0.13,0.0,0.0,0.0
129_20_1_50_10_90_95_42,100,24.16,70.98,5.11,1.81,2.65,8.0,0.93,0.83,0.93,0.93,0.87,88.24,0.92,0,0.87,23.56,26.0,1.11,1.32,12.97,0.79,100,13.08,24.0,1.12,15.3,6.11,0.01,0.03,0.0
129_10_10_50_10_95_99_42,100,12.63,79.61,1.98,0.31,2.1,16.0,0.98,0.87,0.98,0.98,0.92,96.06,0.97,3,0.78,9.56,12.0,2.05,5.3,27.25,0.73,100,27.44,10.0,1.9,33.52,12.61,0.23,0.0,0.0
129_20_10_50_10_90_95_42,100,24.23,92.02,6.6,1.72,361.64,9802.0,0.93,0.79,0.93,0.93,0.85,87.45,0.92,0,0.42,64.55,2146.0,4.92,10.96,110.8,0.97,100,51.66,35.0,4.68,2806.06,25.77,0.13,0.12,0.0
129_20_5_50_10_90_95_42,100,23.95,78.33,5.44,1.83,4.16,25.0,0.93,0.82,0.93,0.94,0.87,85.24,0.92,0,0.66,19.3,28.0,2.11,4.68,33.18,0.85,100,34.86,19.0,1.96,44.12,21.75,0.27,0.3,0.0
129_10_10_50_10_100_100_42,100,13.0,78.79,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0,100,1.0,9.56,12.0,2.05,5.3,26.11,0.71,100,25.91,10.0,1.9,30.95,12.67,0.0,0.0,0.0
129_10_5_50_10_95_99_42,100,12.74,66.63,1.62,0.26,0.76,3.0,0.98,0.89,0.98,0.98,0.93,96.54,0.97,11,0.88,10.54,14.0,1.35,2.36,21.53,0.63,100,23.18,11.0,1.3,43.72,10.35,0.0,0.0,0.0
129_5_20_50_10_95_99_42,100,5.75,75.67,1.84,0.14,1.44,16.0,0.98,0.77,0.97,0.98,0.85,93.22,0.97,7,0.6,4.53,6.0,1.67,3.75,21.02,0.65,100,22.06,5.0,1.5,31.12,5.89,0.54,0.0,0.0
129_1_5_50_10_100_100_42,100,1.0,9.36,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0,100,1.0,1.0,1.0,1.0,1.0,1.2,0.08,100,0.96,1.0,1.0,4.05,0.14,0.0,0.0,0.0
129_5_5_50_10_100_100_42,100,6.0,41.75,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0,100,1.0,5.35,6.0,1.17,2.0,11.54,0.37,100,12.72,5.5,1.2,17.61,3.73,0.0,0.0,0.0
129_5_20_50_10_90_95_42,100,5.6,86.82,6.24,0.3,21.81,499.0,0.93,0.48,0.94,0.93,0.63,88.81,0.93,0,0.26,4.53,6.0,1.67,3.75,26.87,0.77,100,26.86,5.0,1.5,83.3,5.9,0.58,0.17,0.0
129_20_10_50_10_100_100_42,100,26.0,97.68,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0,100,1.0,64.55,2146.0,4.92,10.96,30.58,0.96,100,20.27,35.0,4.68,349.51,25.9,0.0,0.0,0.0
129_10_20_50_10_95_99_42,100,12.67,101.47,2.65,0.3,77.72,3991.0,0.97,0.83,0.98,0.97,0.9,94.2,0.97,1,0.55,17.99,61.0,3.97,8.16,40.91,0.91,100,32.77,13.5,3.62,1000.92,12.97,0.22,0.0,0.0
