anomaly_perc,affected_by_perc,anomaly_perc_aff_by_ratio,f1_scores,anomaly_link_perc_scores,compensation_ano_link,gt_match_perc,avg_ratio_gtfp,compensation_gtfp,model_acc_connectivity_ratio,num_classifications_model_acc_ratio,avg_model_acc,anomaly_perc_model_acc_ratio,num_classifications,avg_num_fault_paths,avg_fault_path_len,anomaly_perc_aff_by_prod,avg_runtime (s),median_runtime (s),median_num_fault_paths,median_fault_path_len,sum_of_avg_fault_paths_and_dev,sum_of_max_fault_paths_and_dev,max_runtime (s),anomaly_perc_aff_by_model_acc_aggregation,avg_fp,avg_fn,anomaly_perc_model_acc_aggregation,miss_due_to_class_iss,missed_anomalies_unclassified,all_missed_anomalies,diag_success_percentage,fp_dev_max,fp_dev_mean,permutations,permutation_perc,permutation_approx,approx_perc,avg_compensation_by_aff_by_savior,avg_missed_chances,avg_no_second_chance,avg_misclassifications,potential_for_misclassification,avg_ratio_found_anomalies
1.0,10.0,0.1,0.89,1.0,0.11,68,0.85,0.04,9.7,0.15,0.97,0.01,14.19,1.0,1.0,10.0,1.7,1.24,1.0,1.0,1.22,3.0,6.42,11.34020618556701,0.38,0.01,1.0309278350515465,0.01,0.0,0.01,99,2.0,0.22,1.e+00,100.0,2,50.0,0.35,0.0,0.0,0.39,2.18,0.99
1.0,10.0,0.1,1.0,1.0,0.0,100,1.0,0.0,10.0,0.13,1.0,0.01,12.9,1.0,1.0,10.0,1.08,1.05,1.0,1.0,1.0,1.0,3.8,11.0,0.0,0.0,1.0,0.0,0.0,0.0,100,0.0,0.0,1.e+00,100.0,2,50.0,0.32,0.0,0.0,0.0,0.0,1.0
5.0,5.0,1.0,0.91,0.97,0.06,24,0.88,0.03,19.4,0.52,0.97,0.05,50.31,5.35,1.17,25.0,13.37,13.74,5.5,1.2,6.01,9.0,19.34,10.309278350515465,1.06,0.11,5.154639175257732,0.11,0.01,0.12,100,3.0,0.66,7.2e+02,0.74,7,76.43,3.92,0.01,0.0,1.1700000000000002,2.09,0.98
5.0,10.0,0.5,1.0,1.0,0.0,100,1.0,0.0,10.0,0.57,1.0,0.05,56.76,4.92,1.33,50.0,16.18,16.36,5.0,1.2,4.92,6.0,20.59,15.0,0.0,0.0,5.0,0.0,0.0,0.0,100,0.0,0.0,7.2e+02,0.68,7,70.29,5.47,0.0,0.0,0.0,0.0,1.0
1.0,20.0,0.05,0.63,1.0,0.37,36,0.47,0.16,4.6,0.41,0.92,0.01,37.41,1.0,1.0,20.0,10.28,8.02,1.0,1.0,3.24,33.0,29.15,22.82608695652174,2.27,0.02,1.0869565217391304,0.02,0.0,0.02,98,32.0,2.24,1.e+00,100.0,2,50.0,0.87,0.0,0.0,2.29,20.79,0.98
10.0,10.0,1.0,0.78,0.85,0.07,0,0.49,0.29,9.2,1.08,0.92,0.11,99.33,9.56,2.05,100.0,28.74,29.42,10.0,1.9,17.8,114.0,43.43,21.73913043478261,6.01,0.88,10.869565217391305,0.88,0.15,1.03,100,102.0,8.24,6.23e+09,0.0,15,63.73,12.55,0.48,0.14,6.89,8.92,0.92
1.0,5.0,0.2,0.83,1.0,0.17,55,0.79,0.04,18.6,0.12,0.93,0.01,11.61,1.0,1.0,5.0,1.97,1.33,1.0,1.0,1.49,4.0,5.84,6.451612903225806,0.7,0.08,1.075268817204301,0.08,0.0,0.08,95,3.0,0.49,1.e+00,100.0,2,50.0,0.15,0.0,0.0,0.7799999999999999,2.05,0.92
5.0,10.0,0.5,0.72,0.93,0.21,4,0.54,0.18,9.3,0.74,0.93,0.05,68.37,4.92,1.33,50.0,17.9,19.38,5.0,1.2,7.26,18.0,25.07,16.129032258064516,4.28,0.32,5.376344086021505,0.32,0.04,0.36,100,12.0,2.34,7.2e+02,0.68,7,70.29,5.6,0.1,0.0,4.6000000000000005,12.97,0.94
20.0,7.0,2.857142857142857,0.95,0.96,0.01,0,0.79,0.16,13.857142857142856,1.21,0.97,0.21,117.39,24.25,3.42,140.0,13.85,13.44,22.0,3.08,31.65,126.0,24.68,27.835051546391753,2.22,0.6,20.61855670103093,0.6,0.03,0.63,100,68.0,7.4,4.03e+26,0.0,28,86.61,24.89,0.02,0.1,2.8200000000000003,0.9,0.98
1.0,20.0,0.05,0.87,1.0,0.13,66,0.78,0.09,4.85,0.23,0.97,0.01,21.930000000000003,1.0,1.0,20.0,4.2,3.46,1.0,1.0,1.22,3.0,16.5,21.649484536082475,0.46,0.0,1.0309278350515465,0.0,0.0,0.0,100,2.0,0.22,1.e+00,100.0,2,50.0,0.78,0.0,0.0,0.46,4.93,1.0
20.0,5.0,4.0,0.95,0.96,0.01,2,0.86,0.09,19.4,1.12,0.97,0.21,108.36,19.3,2.11,100.0,11.78,11.7,19.0,1.96,21.16,36.0,16.96,25.77319587628866,2.11,0.58,20.61855670103093,0.58,0.05,0.63,100,8.0,1.86,4.03e+26,0.0,28,68.93,22.0,0.11,0.03,2.69,1.09,0.98
1.0,20.0,0.05,1.0,1.0,0.0,100,1.0,0.0,5.0,0.18,1.0,0.01,18.060000000000002,1.0,1.0,20.0,3.78,3.26,1.0,1.0,1.0,1.0,9.74,21.0,0.0,0.0,1.0,0.0,0.0,0.0,100,0.0,0.0,1.e+00,100.0,2,50.0,0.75,0.0,0.0,0.0,0.0,1.0
1.0,5.0,0.2,0.95,1.0,0.05,84,0.94,0.01,19.4,0.11,0.97,0.01,10.32,1.0,1.0,5.0,3.28,3.32,1.0,1.0,1.14,2.0,6.39,6.185567010309279,0.14,0.03,1.0309278350515465,0.03,0.0,0.03,97,1.0,0.14,1.e+00,100.0,2,50.0,0.13,0.0,0.0,0.17,0.42,0.97
20.0,1.0,20.0,0.87,0.88,0.01,0,0.87,0.0,92.0,1.11,0.92,0.22,101.91000000000001,23.56,1.11,20.0,12.97,13.08,24.0,1.12,26.21,34.0,15.3,22.82608695652174,5.11,1.81,21.73913043478261,1.81,0.03,1.84,100,8.0,2.65,4.03e+26,0.0,27,87.26,6.11,0.01,0.03,6.92,0.69,0.93
20.0,2.0,10.0,0.95,0.96,0.01,2,0.93,0.02,48.5,1.05,0.97,0.21,101.91000000000001,21.87,1.24,40.0,12.61,12.59,22.0,1.22,22.91,30.0,17.19,22.68041237113402,1.79,0.65,20.61855670103093,0.65,0.01,0.66,100,4.0,1.04,4.03e+26,0.0,27,81.0,11.91,0.01,0.0,2.44,0.48,0.97
10.0,10.0,1.0,0.92,0.96,0.04,3,0.78,0.14,9.7,0.97,0.97,0.1,94.17,9.56,2.05,100.0,27.25,27.44,10.0,1.9,11.66,28.0,33.52,20.61855670103093,1.98,0.31,10.309278350515465,0.31,0.06,0.37,100,16.0,2.1,6.23e+09,0.0,15,63.73,12.61,0.23,0.0,2.29,3.45,0.97
20.0,10.0,2.0,0.85,0.87,0.02,0,0.42,0.43,9.2,1.36,0.92,0.22,125.13,64.55,4.92,200.0,110.8,51.66,35.0,4.68,426.19,11948.0,2806.06,32.608695652173914,6.6,1.72,21.73913043478261,1.72,0.05,1.77,100,9802.0,361.64,4.03e+26,0.0,28,230.54,25.77,0.13,0.12,8.32,1.28,0.93
20.0,5.0,4.0,0.87,0.85,0.02,0,0.66,0.21,18.4,1.19,0.92,0.22,109.64999999999999,19.3,2.11,100.0,33.18,34.86,19.0,1.96,23.46,53.0,44.12,27.173913043478258,5.44,1.83,21.73913043478261,1.83,0.22,2.05,100,25.0,4.16,4.03e+26,0.0,28,68.93,21.75,0.27,0.3,7.2700000000000005,2.63,0.92
10.0,10.0,1.0,1.0,1.0,0.0,100,1.0,0.0,10.0,0.92,1.0,0.1,91.58999999999999,9.56,2.05,100.0,26.11,25.91,10.0,1.9,9.56,12.0,30.95,20.0,0.0,0.0,10.0,0.0,0.0,0.0,100,0.0,0.0,6.23e+09,0.0,15,63.73,12.67,0.0,0.0,0.0,0.0,1.0
10.0,5.0,2.0,0.93,0.97,0.04,11,0.88,0.05,19.4,0.84,0.97,0.1,81.27,10.54,1.35,50.0,21.53,23.18,11.0,1.3,11.3,17.0,43.72,15.463917525773196,1.62,0.26,10.309278350515465,0.26,0.0,0.26,100,3.0,0.76,6.23e+09,0.0,14,75.29,10.35,0.0,0.0,1.8800000000000001,1.93,0.98
5.0,20.0,0.25,0.85,0.93,0.08,7,0.6,0.25,4.85,0.86,0.97,0.05,83.85000000000001,4.53,1.67,100.0,21.02,22.06,5.0,1.5,5.97,22.0,31.12,25.77319587628866,1.84,0.14,5.154639175257732,0.14,0.11,0.25,100,16.0,1.44,7.2e+02,0.63,7,64.71,5.89,0.54,0.0,1.98,8.31,0.96
1.0,5.0,0.2,1.0,1.0,0.0,100,1.0,0.0,20.0,0.1,1.0,0.01,10.32,1.0,1.0,5.0,1.2,0.96,1.0,1.0,1.0,1.0,4.05,6.0,0.0,0.0,1.0,0.0,0.0,0.0,100,0.0,0.0,1.e+00,100.0,2,50.0,0.14,0.0,0.0,0.0,0.0,1.0
5.0,5.0,1.0,1.0,1.0,0.0,100,1.0,0.0,20.0,0.48,1.0,0.05,47.73,5.35,1.17,25.0,11.54,12.72,5.5,1.2,5.35,6.0,17.61,10.0,0.0,0.0,5.0,0.0,0.0,0.0,100,0.0,0.0,7.2e+02,0.74,7,76.43,3.73,0.0,0.0,0.0,0.0,1.0
5.0,20.0,0.25,1.0,1.0,0.0,100,1.0,0.0,5.0,0.76,1.0,0.05,76.11,4.53,1.67,100.0,15.19,18.0,5.0,1.5,4.53,6.0,25.18,25.0,0.0,0.0,5.0,0.0,0.0,0.0,100,0.0,0.0,7.2e+02,0.63,7,64.71,6.0,0.0,0.0,0.0,0.0,1.0
5.0,20.0,0.25,0.63,0.89,0.26,0,0.26,0.37,4.65,1.07,0.93,0.05,99.33,4.53,1.67,100.0,26.87,26.86,5.0,1.5,26.34,505.0,83.3,26.881720430107524,6.24,0.3,5.376344086021505,0.3,0.1,0.4,100,499.0,21.81,7.2e+02,0.63,7,64.71,5.9,0.58,0.17,6.54,18.51,0.93
10.0,20.0,0.5,0.76,0.87,0.11,0,0.19,0.57,4.65,1.3,0.93,0.11,121.25999999999999,17.99,3.97,200.0,241.28,51.37,13.5,3.62,875.73,30307.0,10807.48,32.25806451612903,7.26,0.77,10.75268817204301,0.77,0.02,0.79,100,30246.0,857.74,6.23e+09,0.0,15,119.93,12.98,0.11,0.07,8.03,5.62,0.94
20.0,10.0,2.0,1.0,1.0,0.0,100,1.0,0.0,10.0,1.24,1.0,0.2,123.83999999999999,64.55,4.92,200.0,30.58,20.27,35.0,4.68,64.55,2146.0,349.51,30.0,0.0,0.0,20.0,0.0,0.0,0.0,100,0.0,0.0,4.03e+26,0.0,28,230.54,25.9,0.0,0.0,0.0,0.0,1.0
10.0,20.0,0.5,0.9,0.94,0.04,1,0.55,0.35,4.85,1.21,0.97,0.1,117.39,17.99,3.97,200.0,40.91,32.77,13.5,3.62,95.71,4052.0,1000.92,30.927835051546392,2.65,0.3,10.309278350515465,0.3,0.03,0.33,100,3991.0,77.72,6.23e+09,0.0,15,119.93,12.97,0.22,0.0,2.9499999999999997,3.08,0.97
20.0,3.0,6.666666666666667,0.96,0.95,0.01,4,0.92,0.04,32.333333333333336,1.05,0.97,0.21,101.91000000000001,20.68,1.4,60.0,12.35,12.17,21.0,1.39,21.57,27.0,16.84,23.711340206185568,1.79,0.53,20.61855670103093,0.53,0.05,0.58,100,3.0,0.89,4.03e+26,0.0,27,76.59,15.52,0.07,0.0,2.3200000000000003,0.73,0.98
